○ Video  --vid=1  (h264 1024x576 30 fps 3134 kbps) [default]
○ Video  --vid=2  (h264 1280x720 30 fps 4953 kbps) [default]
○ Video  --vid=3  (h264 1920x1080 30 fps 9915 kbps) [default]
○ Video  --vid=4  (h264 320x180 30 fps 254 kbps) [default]
○ Video  --vid=5  (h264 320x180 30 fps 507 kbps) [default]
○ Video  --vid=6  (h264 480x270 30 fps 760 kbps) [default]
● Video  --vid=7  (h264 640x360 30 fps 1255 kbps) [default]
○ Video  --vid=8  (h264 640x360 30 fps 1013 kbps) [default]
○ Video  --vid=9  (h264 768x432 30 fps 1884 kbps) [default]
○ Video  --vid=10 (h264 3840x2160 30 fps 14932 kbps) [default]
○ Audio  --aid=1  (aac 2ch 48000 Hz 65 kbps) [default]
VO: [wlshm] 640x360 yuv420p
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=66 cache=20.8667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=67 cache=20.8333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=68 cache=20.8
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=68 cache=20.7667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=69 cache=20.7333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=69 cache=20.7
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=70 cache=20.6667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=71 cache=20.6333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=72 cache=20.6
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=73 cache=20.5667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=73 cache=20.5333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=74 cache=20.5
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=74 cache=20.4667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=75 cache=20.4333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=75 cache=20.4
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=76 cache=20.3667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=76 cache=20.3333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=76 cache=20.3
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=76 cache=20.2667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=77 cache=20.2333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=77 cache=20.3
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=78 cache=20.7333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=79 cache=21.2
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=79 cache=22.1
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=79 cache=24.0667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=80 cache=24.0333
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=81 cache=24
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=81 cache=23.9667
pos=00:00:35 fps=30 decoder_drop=0 vo_drop=81 cache=23.9333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=82 cache=23.9
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=83 cache=23.8667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=83 cache=23.8333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=84 cache=23.8
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=84 cache=23.7667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=85 cache=23.7333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=86 cache=23.7
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=87 cache=23.6667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=88 cache=23.6333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=88 cache=23.6
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=89 cache=23.5667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=90 cache=23.5333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=90 cache=23.5
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=91 cache=23.4667
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=92 cache=23.4333
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=92 cache=23.4
pos=00:00:36 fps=30 decoder_drop=0 vo_drop=92 cache=23.3667
